-50.00000058E-9,0.0,
-49.96000058E-9,-8.000000380E-3,
-49.92000058E-9,-8.000000380E-3,
-49.88000057E-9,-16.0000008E-3,
-49.84000057E-9,-24.00000021E-3,
-49.80000057E-9,-24.00000021E-3,
-49.76000056E-9,-32.00000152E-3,
-49.72000056E-9,-32.00000152E-3,
-49.68000056E-9,-40.00000283E-3,
-49.64000055E-9,-40.00000283E-3,
-49.60000055E-9,-48.00000042E-3,
-49.56000055E-9,-48.00000042E-3,
-49.52000054E-9,-56.000001729E-3,
-49.48000054E-9,-64.000003040E-3,
-49.44000054E-9,-64.000003040E-3,
-49.40000053E-9,-72.000004351E-3,
-49.36000053E-9,-72.000004351E-3,
-49.32000053E-9,-80.000005662E-3,
-49.28000052E-9,-80.000005662E-3,
-49.24000052E-9,-88.000006974E-3,
-49.20000052E-9,-88.000006974E-3,
-49.16000051E-9,-96.000000834E-3,
-49.12000051E-9,-104.0000021E-3,
-49.08000051E-9,-104.0000021E-3,
-49.04000050E-9,-112.0000035E-3,
-49.00000050E-9,-120.0000048E-3,
-48.96000050E-9,-120.0000048E-3,
-48.92000049E-9,-128.0000061E-3,
-48.88000049E-9,-136.0000074E-3,
-48.84000049E-9,-136.0000074E-3,
-48.80000049E-9,-144.0000087E-3,
-48.76000048E-9,-144.0000087E-3,
-48.72000048E-9,-152.00001001E-3,
-48.68000048E-9,-160.00001132E-3,
-48.64000047E-9,-160.00001132E-3,
-48.60000047E-9,-168.00001264E-3,
-48.56000047E-9,-176.00001395E-3,
-48.52000046E-9,-176.00001395E-3,
-48.48000046E-9,-184.00001526E-3,
-48.44000046E-9,-184.00001526E-3,
-48.40000045E-9,-192.00000167E-3,
-48.36000045E-9,-192.00000167E-3,
-48.32000045E-9,-200.00000298E-3,
-48.28000044E-9,-208.00000429E-3,
-48.24000044E-9,-208.00000429E-3,
-48.20000044E-9,-216.00000560E-3,
-48.16000043E-9,-216.00000560E-3,
-48.12000043E-9,-224.00000691E-3,
-48.08000043E-9,-224.00000691E-3,
-48.04000042E-9,-232.00000823E-3,
-48.00000042E-9,-232.00000823E-3,
-47.96000042E-9,-240.00000954E-3,
-47.92000041E-9,-240.00000954E-3,
-47.88000041E-9,-248.00001085E-3,
-47.84000041E-9,-248.00001085E-3,
-47.80000040E-9,-256.00001216E-3,
-47.76000040E-9,-256.00001216E-3,
-47.72000040E-9,-256.00001216E-3,
-47.68000039E-9,-263.99999857E-3,
-47.64000039E-9,-263.99999857E-3,
-47.60000039E-9,-272.00001478E-3,
-47.56000038E-9,-272.00001478E-3,
-47.52000038E-9,-280.00000119E-3,
-47.48000038E-9,-280.00000119E-3,
-47.44000037E-9,-280.00000119E-3,
-47.40000037E-9,-288.00001740E-3,
-47.36000037E-9,-288.00001740E-3,
-47.32000036E-9,-296.00000381E-3,
-47.28000036E-9,-296.00000381E-3,
-47.24000036E-9,-296.00000381E-3,
-47.20000035E-9,-304.00002003E-3,
-47.16000035E-9,-304.00002003E-3,
-47.12000035E-9,-312.00000644E-3,
-47.08000034E-9,-312.00000644E-3,
-47.04000034E-9,-312.00000644E-3,
-47.00000034E-9,-320.00002265E-3,
-46.96000033E-9,-320.00002265E-3,
-46.92000033E-9,-320.00002265E-3,
-46.88000033E-9,-328.00000906E-3,
-46.84000032E-9,-328.00000906E-3,
-46.80000032E-9,-328.00000906E-3,
-46.76000032E-9,-336.00002527E-3,
-46.72000031E-9,-336.00002527E-3,
-46.68000031E-9,-336.00002527E-3,
-46.64000031E-9,-336.00002527E-3,
-46.60000030E-9,-344.00001168E-3,
-46.56000030E-9,-344.00001168E-3,
-46.52000030E-9,-344.00001168E-3,
-46.48000029E-9,-352.00002789E-3,
-46.44000029E-9,-352.00002789E-3,
-46.40000029E-9,-352.00002789E-3,
-46.36000028E-9,-352.00002789E-3,
-46.32000028E-9,-352.00002789E-3,
-46.28000028E-9,-360.00001431E-3,
-46.24000027E-9,-360.00001431E-3,
-46.20000027E-9,-360.00001431E-3,
-46.16000027E-9,-360.00001431E-3,
-46.12000026E-9,-360.00001431E-3,
-46.08000026E-9,-368.00003052E-3,
-46.04000026E-9,-368.00003052E-3,
-46.00000025E-9,-368.00003052E-3,
-45.96000025E-9,-368.00003052E-3,
-45.92000025E-9,-368.00003052E-3,
-45.88000024E-9,-368.00003052E-3,
-45.84000024E-9,-368.00003052E-3,
-45.80000024E-9,-368.00003052E-3,
-45.76000023E-9,-368.00003052E-3,
-45.72000023E-9,-368.00003052E-3,
-45.68000023E-9,-368.00003052E-3,
-45.64000022E-9,-368.00003052E-3,
-45.60000022E-9,-368.00003052E-3,
-45.56000022E-9,-368.00003052E-3,
-45.52000021E-9,-368.00003052E-3,
-45.48000021E-9,-368.00003052E-3,
-45.44000021E-9,-368.00003052E-3,
-45.40000020E-9,-368.00003052E-3,
-45.36000020E-9,-368.00003052E-3,
-45.32000020E-9,-368.00003052E-3,
-45.28000019E-9,-368.00003052E-3,
-45.24000019E-9,-368.00003052E-3,
-45.20000019E-9,-368.00003052E-3,
-45.16000018E-9,-360.00001431E-3,
-45.12000018E-9,-360.00001431E-3,
-45.08000018E-9,-360.00001431E-3,
-45.04000017E-9,-360.00001431E-3,
-45.00000017E-9,-360.00001431E-3,
-44.96000017E-9,-360.00001431E-3,
-44.92000016E-9,-360.00001431E-3,
-44.88000016E-9,-352.00002789E-3,
-44.84000016E-9,-352.00002789E-3,
-44.80000015E-9,-352.00002789E-3,
-44.76000015E-9,-352.00002789E-3,
-44.72000015E-9,-352.00002789E-3,
